head_entity	relation	tail_entity	ID
SectorJ04	use_tool	FlowerPippi	6634
SectorJ04	hacker_active_time	2019	6635
SectorJ04	use_way	spam	6636
SectorJ04	use_way	email	6637
SectorJ04	relate_to	South Korea	6638
SectorJ04	hacker_active_time	2019	6639
SectorJ04	use_tool	exploit kits	6640
SectorJ04	use_tool	Locky	6641
SectorJ04	use_tool	GlobeImporter	6642
SectorJ04	use_tool	banking Trojan	6643
SectorJ04's	relate_to	South Korea	6644
SectorJ04	relate_to	South Korea	6645
SectorJ04	relate_to	Southeast Asian	6646
SectorJ04	relate_to	Taiwan	6647
SectorJ04	relate_to	Philippines	6648
SectorJ04	hacker_active_time	June	6649
SectorJ04	target_industry	electronics	6650
SectorJ04	target_industry	telecommunications	6651
SectorJ04	target_industry	international	6652
SectorJ04	target_industry	manufacturing	6653
ServHelper	tool_have_feature	downloads the malware	6654
FlawedAmmy	tool_have_feature	downloads the malware	6655
SectorJ04	use_tool	ServHelper	6656
SectorJ04	use_tool	FlawedAmmy	6657
SectorJ04	use_way	downloading malware	6658
SectorJ04	use_way	changing	6659
SectorJ04	hacker_active_time	2019	6660
SectorJ04	use_tool	ransomware	6661
SectorJ04	use_tool	banking trojans	6662
SectorJ04	launch	information gathering activities	6663
SectorJ04	hacker_active_time	2019	6664
SectorJ04	use_way	distribution of spam	6665
SectorJ04	use_way	spear phishing	6666
SectorJ04	relate_to	South Korean	6667
SectorJ04	target_organization	companies	6668
SectorJ04	hacker_active_time	February 2019	6669
companies	org_located_at	South Korean	6670
SectorJ04	target_industry	media	6671
SectorJ04	target_industry	manufacturing	6672
SectorJ04	target_industry	universities	6673
SectorJ04	hacker_active_time	February	6674
SectorJ04	hacker_active_time	March 2019	6675
SectorJ04	use_way	spear phishing	6676
SectorJ04	have_purpose	spread malicious	6677
SectorJ04	have_purpose	downloaded	6678
attacker’s	use_way	spear phishing	6679
attacker’s	have_purpose	spread malicious	6680
attacker’s	have_purpose	downloaded	6681
SectorJ04	launch	hacking activities	6682
SectorJ04	target_industry	financial	6683
SectorJ04	relate_to	India	6684
SectorJ04	relate_to	Hong Kong	6685
SectorJ04	hacker_active_time	April 2019	6686
financial	idus_located_at	India	6687
financial	idus_located_at	Hong Kong	6688
SectorJ04	target_industry	financial	6689
SectorJ04	relate_to	Italy	6690
SectorJ04	hacker_active_time	May 2019	6691
financial	idus_located_at	Italy	6692
SectorJ04	hacker_active_time	July	6693
SectorJ04	target_industry	education	6694
SectorJ04	target_industry	job openings	6695
SectorJ04	target_industry	real estate	6696
SectorJ04	target_industry	semiconductors	6697
SectorJ04	relate_to	South Korea	6698
education	idus_located_at	South Korea	6699
job openings	idus_located_at	South Korea	6700
real estate	idus_located_at	South Korea	6701
semiconductors	idus_located_at	South Korea	6702
SectorJ04	hacker_active_time	August	6703
SectorJ04	launch	hacking activities	6704
SectorJ04	relate_to	South Korea	6705
SectorJ04	relate_to	India	6706
SectorJ04	relate_to	Britain	6707
SectorJ04	relate_to	United States	6708
SectorJ04	relate_to	Germany	6709
SectorJ04	relate_to	Canada	6710
SectorJ04	relate_to	Argentina	6711
SectorJ04	relate_to	Bangladesh	6712
SectorJ04	relate_to	Hong Kong	6713
groups	hacker_active_time	2019	6714
groups	launch	hacking	6715
groups	launch	activities	6716
Silence	target_industry	financial	6717
Group-IB's	find	Silence:	6718
Silence	relate_to	Russia	6719
Silence	relate_to	former Soviet	6720
Silence	use_tool	Ivoke	6721
Silence	use_tool	EDA agent	6722
Going Global	find	group	6723
Going Global	find	Silence’s activity	6724
Group-IB’s	sec_active_time	September 2018	6725
Group-IB’s	find	Silence	6726
Silence	target_organization	banks	6727
Silence	use_way	phishing	6728
hackers	launch	successful attack	6729
hackers	hacker_active_time	April 2018	6730
Group-IB’s	hacker_active_time	April 2018	6731
Group-IB’s	relate_to	former Soviet	6732
Group-IB’s	relate_to	Eastern European	6733
Group-IB’s	relate_to	Russia	6734
Group-IB’s	relate_to	Ukraine	6735
Group-IB’s	relate_to	Belarus	6736
Group-IB’s	relate_to	Azerbaijan	6737
Group-IB’s	relate_to	Poland	6738
Group-IB’s	relate_to	Kazakhstan	6739
Silence	hacker_active_time	2018	6740
actor’s	have_file	malicious payload	6741
actor’s	target_organization	users	6742
Silence	use_way	malicious mail	6743
Silence	target_industry	banks	6744
Silence	relate_to	Russia	6745
Silence	relate_to	former Soviet	6746
Silence	relate_to	Asia	6747
Silence	relate_to	Europe	6748
banks	idus_located_at	Russia	6749
banks	idus_located_at	former Soviet	6750
banks	idus_located_at	Asia	6751
banks	idus_located_at	Europe	6752
Silence	hacker_active_time	November 2018	6753
Silence	target_industry	Asian market	6754
Silence	relate_to	Taiwan	6755
Silence	relate_to	Malaysia	6756
Silence	relate_to	South Korea	6757
Group-IB’s	hacker_active_time	April 2018	6758
Silence’s	hacker_active_time	April 2018	6759
Group-IB’s	relate_to	former Soviet	6760
Group-IB’s	relate_to	Eastern European	6761
Group-IB’s	relate_to	Russia	6762
Group-IB’s	relate_to	Ukraine	6763
Group-IB’s	relate_to	Belarus	6764
Group-IB’s	relate_to	Azerbaijan	6765
Group-IB’s	relate_to	Poland	6766
Group-IB’s	relate_to	Kazakhstan	6767
Silence’s	relate_to	former Soviet	6768
Silence’s	relate_to	Eastern European	6769
Silence’s	relate_to	Russia	6770
Silence’s	relate_to	Ukraine	6771
Silence’s	relate_to	Belarus	6772
Silence’s	relate_to	Azerbaijan	6773
Silence’s	relate_to	Poland	6774
Silence’s	relate_to	Kazakhstan	6775
Silence	hacker_active_time	16 October 2018	6776
Silence	hacker_active_time	1 January 2019	6777
silence	use_way	phishing	6778
Silence	relate_to	former Soviet	6779
banks	idus_located_at	former Soviet	6780
Silence	target_industry	banks	6781
Silence	relate_to	Kyrgyzstan	6782
Silence	relate_to	Kazakhstan	6783
Silence	relate_to	Ukraine	6784
banks	idus_located_at	Kyrgyzstan	6785
banks	idus_located_at	Kazakhstan	6786
banks	idus_located_at	Ukraine	6787
Silence	use_tool	CnC-3 server	6788
group	use_tool	Atmosphere Trojan	6789
group	use_tool	xfs-disp.exe	6790
Silence	use_tool	Atmosphere Trojan	6791
Silence	use_tool	xfs-disp.exe	6792
Silence	use_tool	Silence.ProxyBot	6793
Silence	use_tool	Silence. ProxyBot.NET	6794
Silence	relate_to	Russian	6795
Silence	target_industry	banks	6796
banks	idus_located_at	Russian	6797
Silence’s	exploit	exploit	6798
Silence	use_way	phishing	6799
Silence	use_way	posing	6800
Silence	target_industry	Central Bank	6801
Silence	relate_to	Russian	6802
Central Bank	idus_located_at	Russian	6803
Group-IB	find	Silence’s	6804
Silence’s	have_purpose	deliver	6805
Silence’s	have_purpose	launch	6806
Silence	target_industry	financial	6807
Silence	relate_to	UK	6808
financial	idus_located_at	UK	6809
Silence	relate_to	Asian	6810
Silence	relate_to	receiving	6811
Silence	relate_to	delivering	6812
attackers	hacker_active_time	6 June 2019	6813
attackers	target_industry	banks	6814
group	hacker_active_time	October	6815
group	hacker_active_time	18th	6816
group	hacker_active_time	2018	6817
group	relate_to	British	6818
group	target_industry	financial	6819
financial	idus_located_at	British	6820
Silence	hacker_active_time	in 2019	6821
Silence	relate_to	Bangladeshi	6822
Silence	target_industry	bank	6823
bank	idus_located_at	Bangladeshi	6824
Silence	use_tool	Atmosphere	6825
Silence	have_file	xfs-disp.exe	6826
Silence	target_industry	Bank	6827
Silence	hacker_active_time	16 January 2019	6828
Silence	use_way	phishing emails	6829
Silence	target_industry	Financial	6830
hackers	hacker_active_time	2011	6831
hackers	use_tool	malware	6832
Hackers	target_industry	high-tech companies	6833
Hackers	target_industry	chemical	6834
Hackers	target_industry	pharmaceutical	6835
hackers	have_purpose	placing their malware	6836
Winnti	hacker_active_time	2014	6837
Winnti	relate_to	Germany	6838
hackers	hacker_active_time	July 2015	6839
Winnti	use_tool	Thyssenkrupp	6840
Hackers	target_industry	manufacturer	6841
Winnti	relate_to	Hong Kong	6842
APT28	use_tool	Komplex	6843
OceanLotus’	relate_to	APAC	6844
OceanLotus’	target_industry	foreign governments	6845
OceanLotus’	target_organization	activists	6846
OceanLotus’	target_organization	dissidents	6847
OceanLotus’	relate_to	Vietnam	6848
dissidents	org_located_at	Vietnam	6849
NewsBeef	relate_to	Saudi Arabian	6850
NewsBeef	relate_to	European	6851
Rapid7	find	APT10	6852
APT10	use_way	placed	6853
Rapid7	find	APT10	6854
APT10	have_file	ccSEUPDT.exe	6855
Novetta’s	find	Lazarus	6856
Magic Hound	target_industry	energy	6857
Magic Hound	target_industry	government	6858
Magic Hound	target_industry	technology	6859
Magic Hound	relate_to	Saudi Arabia	6860
energy	idus_located_at	Saudi Arabia	6861
government	idus_located_at	Saudi Arabia	6862
technology	idus_located_at	Saudi Arabia	6863
group	hacker_active_time	2013	6864
APT33	hacker_active_time	2013	6865
group	relate_to	Iranian	6866
APT33	relate_to	Iranian	6867
FireEye	find	group	6868
group	target_industry	defense	6869
group	target_industry	aerospace	6870
group	target_industry	petrochemical	6871
FireEye	find	APT33	6872
APT33	target_industry	defense	6873
APT33	target_industry	aerospace	6874
APT33	target_industry	petrochemical	6875
CTU	find	Mia Ash	6876
Mia Ash	launch	phishing campaigns	6877
Mia Ash	use_way	spearphishing	6878
Mia Ash	use_way	social engineering attacks	6879
CTU	find	COBALT GYPSY	6880
COBALT GYPSY	use_way	social engineering	6881
Magic Hound	use_way	spear phishing	6882
Magic Hound	relate_to	Middle East	6883
Magic Hound	relate_to	Europe	6884
Magic Hound	relate_to	United States	6885
APT10	relate_to	Southeast Asia	6886
APT10	relate_to	Southeast Asia	6887
enSilo	find	APT10	6888
APT10	use_way	employ	6889
APT10	have_purpose	confuse	6890
Recorded Future’s	find	APT33’s	6891
Recorded Future’s	find	Elfin	6892
Recorded Future’s	sec_active_time	June 21	6893
Recorded Future’s	sec_active_time	2019	6894
APT33’s	hacker_active_time	June 21	6895
APT33’s	hacker_active_time	2019	6896
Elfin	hacker_active_time	June 21	6897
Elfin	hacker_active_time	2019	6898
U.S. Cyber	find	group	6899
APT33	relate_to	Iranian	6900
APT33	hacker_active_time	2013	6901
APT33	relate_to	Middle East	6902
APT33	relate_to	U.S.	6903
APT33	relate_to	South Korean	6904
APT33	relate_to	European	6905
APT33	hacker_active_time	March 28	6906
APT33	hacker_active_time	2019	6907
group	relate_to	Saudi Arabian	6908
APT10	hacker_active_time	April 2019	6909
group	hacker_active_time	April 2019	6910
APT10	relate_to	Chinese	6911
group	relate_to	Chinese	6912
APT33	use_tool	njRAT	6913
APT33	use_tool	njRAT	6914
APT33	use_tool	AdwindRAT	6915
APT33	use_tool	RevengeRAT	6916
APT33	relate_to	Iranian	6917
APT33	hacker_active_time	2013	6918
APT33	relate_to	Western	6919
APT33	relate_to	Saudi	6920
APT33	launch	phishing campaigns	6921
Symantec’s	find	Elfin	6922
Elfin	target_industry	engineering	6923
Elfin	target_industry	chemical	6924
Elfin	target_industry	research	6925
Elfin	target_industry	finance	6926
Elfin	target_industry	healthcare	6927
Group	target_organization	Nasr Institute	6928
APT33	target_organization	Nasr Institute	6929
APT35	target_organization	Nasr Institute	6930
MUDDYWATER	target_organization	Nasr Institute	6931
Group	relate_to	Iran	6932
APT33	relate_to	Iran	6933
APT35	relate_to	Iran	6934
MUDDYWATER	relate_to	Iran	6935
Recorded Future	find	APT33	6936
Recorded Future	sec_active_time	October 2017	6937
FireEye	sec_active_time	2017	6938
FireEye	find	APT33	6939
Recorded Future’s	find	Insikt	6940
Recorded Future’s	find	Group	6941
Recorded Future’s	find	APT33	6942
Recorded Future’s	sec_active_time	October 2017	6943
Nasr	relate_to	Iranian	6944
Insikt	find	APT33’s	6945
Recorded Future	find	APT33’s	6946
Insikt	find	APT33	6947
Insikt	sec_active_time	January 2019	6948
Recorded Future	find	APT33	6949
Insikt Group	find	APT33	6950
Symantec	find	APT33	6951
APT33	hacker_active_time	late March	6952
APT33	use_tool	RAT	6953
we	find	APT33	6954
APT33	relate_to	Saudi Arabia	6955
APT10	use_tool	Poison Ivy	6956
APT34	use_tool	PowerShell	6957
group	relate_to	Middle	6958
group	relate_to	East;	6959
group	target_industry	financial	6960
group	target_industry	energy	6961
group	target_industry	government	6962
FireEye Labs	find	APT34	6963
APT34	use_tool	PICKPOCKET	6964
APT34	launch	espionage activity	6965
APT34	hacker_active_time	2014	6966
APT33	relate_to	Iranian-nexus	6967
FireEye	find	APT33	6968
FireEye’s	find	APT34	6969
APT34	target_organization	victim organizations	6970
APT34	use_tool	tool	6971
APT34	launch	Mandiant	6972
APT34	hacker_active_time	2018	6973
Carbanak	use_way	spear-phishing	6974
Carbanak	hacker_active_time	March	6975
Carbanak	hacker_active_time	May 2018	6976
Carbanak	hacker_active_time	2018	6977
Carbanak	target_industry	financial	6978
group	use_tool	framework	6979
group	launch	sophisticated campaigns	6980
group	target_industry	financial	6981
Carbanak	use_tool	Cobalt Strike	6982
Carbanak	use_way	exfiltrate data	6983
Carbanak	use_way	deploy	6984
Bitdefender’s	hacker_active_time	May 2018	6985
Bitdefender’s	target_industry	bank’s	6986
Carbanak	target_industry	financial	6987
Its	use_way	financial	6988
Its	target_industry	bank	6989
hackers	have_purpose	control over	6990
actors	use_tool	dumping credentials	6991
actors	use_way	locating	6992
actors	use_way	pivoting	6993
Emissary Panda	exploit	vulnerability	6994
Emissary Panda	exploit	CVE-2019-0604	6995
Bitdefender’s	use_way	establishing	6996
Bitdefender’s	target_industry	financial transactions	6997
Bitdefender’s	target_industry	ATM networks	6998
Emissary Panda	use_tool	China Chopper webshell	6999
Emissary Panda	use_way	run a malicious DLL	7000
threat actors	have_purpose	move	7001
threat actors	have_purpose	stolen credentials	7002
threat actors	have_purpose	exploiting	7003
actors	use_tool	HyperBro	7004
Emissary Panda	use_tool	HyperBro	7005
actors	exploit	CVE-2019-0604	7006
actors	use_tool	China Chopper webshell	7007
Unit 42	find	Emissary Panda	7008
Emissary Panda	target_organization	government organizations	7009
actors	use_tool	HyperBro backdoor	7010
actors	use_way	sideload malicious	7011
actors	use_way	DLLs	7012
Emissary Panda	use_tool	HyperBro backdoor	7013
Emissary Panda	use_way	sideload malicious	7014
Emissary Panda	use_way	DLLs	7015
actor	use_tool	HyperBro	7016
Emissary Panda	use_tool	HyperBro	7017
NCC	find	Emissary Panda	7018
NCC	find	Emissary Panda	7019
Emissary Panda	have_file	PYTHON33.dll	7020
Emissary Panda	have_file	inicore_v2.3.30.dll	7021
Emissary Panda	use_tool	SysUpdate	7022
Emissary Panda	use_tool	China Chopper	7023
Emissary Panda	relate_to	Middle East	7024
Emissary Panda	exploit	CVE-2019-0604	7025
actors	launch	stolen credentials	7026
actors	exploit	CVE-2017-0144	7027
actors	have_file	MS17-010	7028
they	use_tool	China Chopper	7029
they	use_way	dump credentials	7030
Emissary Panda	use_way	sideload DLLs	7031
Emissary Panda	use_way	DLL sideloading	7032
actors	use_way	sideload DLLs	7033
actors	use_tool	Sublime Text	7034
actors	use_tool	Media application	7035
It	hacker_active_time	2013	7036
It	relate_to	Ukrainian	7037
group’s	use_tool	stealing tools	7038
group’s	use_tool	document stealers	7039
Gamaredon group	use_tool	EvilGnome	7040
FIN7	hacker_active_time	2015	7041
FIN7	use_way	spear phishing	7042
FIN7	hacker_active_time	last year	7043
we	find	attacker groups	7044
we	find	FIN7	7045
Kaspersky	sec_active_time	2018-2019	7046
Kaspersky	find	FIN7	7047
Kaspersky	find	threat actor	7048
FIN7	launch	various campaigns	7049
threat actor	launch	various campaigns	7050
FIN7	use_way	spear phishing	7051
FIN7	hacker_active_time	2018	7052
FIN7	use_tool	malicious Office document	7053
FIN7	hacker_active_time	2018	7054
FIN7’s	target_organization	security companies	7055
Kaspersky	find	activity cluster	7056
activity cluster	target_industry	banks	7057
activity cluster	target_industry	money processing	7058
FIN7’s	target_industry	banks	7059
FIN7’s	relate_to	Europe	7060
FIN7’s	relate_to	Central America	7061
banks	idus_located_at	Europe	7062
banks	idus_located_at	Central America	7063
FIN7	use_tool	backdoors	7064
FIN7	use_tool	CobaltStrike framework	7065
FIN7	use_tool	Powershell	7066
AveMaria	hacker_active_time	September 2018	7067
FIN7	hacker_active_time	September 2018	7068
threat actor	target_organization	Bank	7069
threat actor	hacker_active_time	this year	7070
They	use_tool	AutoIT droppers	7071
cyber criminals	use_tool	spearphishing emails	7072
cyber criminals	use_tool	attachments:	7073
cyber criminals	use_tool	documents	7074
cyber criminals	exploit	CVE-2017-11882	7075
cyber criminals	use_tool	documents	7076
actor	target_industry	financial	7077
actor	relate_to	African	7078
financial	idus_located_at	African	7079
FIN7	hacker_active_time	end of 2018	7080
FIN7	launch	CopyPaste”	7081
FIN7	use_way	decoy	7082
FIN7	hacker_active_time	January 2018	7083
Cobalt	use_way	decoy	7084
Cobalt	hacker_active_time	January 2018	7085
FIN7	use_way	decoy	7086
FIN7	hacker_active_time	January 2018	7087
FIN7	target_organization	Digicert”	7088
FIN7	use_tool	command	7089
FIN7	use_tool	control server	7090
FIN7	target_organization	various companies	7091
FIN7	have_purpose	get access	7092
FIN7	target_industry	financial	7093
CobaltGoblin	target_industry	financial	7094
Carbanak	target_industry	financial	7095
EmpireMonkey	target_industry	financial	7096
We	find	groups	7097
groups	use_tool	similar toolkits	7098
groups	use_tool	infrastructure	7099
CopyPaste	target_industry	financial	7100
CopyPaste	target_organization	companies	7101
CopyPaste	relate_to	African	7102
CopyPaste	target_organization	training center	7103
financial	idus_located_at	African	7104
companies	org_located_at	African	7105
cluster	hacker_active_time	end of 2018	7106
cluster	use_tool	CobaltStrike	7107
cluster	use_tool	Powershell	7108
FIN7	use_way	spearphishing	7109
MuddyWater	relate_to	Middle East	7110
MuddyWater	hacker_active_time	April 2019	7111
MuddyWater	use_way	spear-phishing	7112
MuddyWater	target_organization	governments	7113
MuddyWater	target_industry	educational institutions	7114
MuddyWater	target_industry	financial	7115
MuddyWater	target_industry	telecommunications	7116
MuddyWater	target_industry	defense	7117
MuddyWater	relate_to	Turkey	7118
MuddyWater	relate_to	Iran	7119
MuddyWater	relate_to	Afghanistan	7120
MuddyWater	relate_to	Iraq	7121
MuddyWater	relate_to	Tajikistan	7122
MuddyWater	relate_to	Azerbaijan	7123
governments	org_located_at	Turkey	7124
governments	org_located_at	Iran	7125
governments	org_located_at	Afghanistan	7126
governments	org_located_at	Iraq	7127
governments	org_located_at	Tajikistan	7128
governments	org_located_at	Azerbaijan	7129
educational institutions	idus_located_at	Turkey	7130
educational institutions	idus_located_at	Iran	7131
educational institutions	idus_located_at	Afghanistan	7132
educational institutions	idus_located_at	Iraq	7133
educational institutions	idus_located_at	Tajikistan	7134
educational institutions	idus_located_at	Azerbaijan	7135
financial	idus_located_at	Turkey	7136
financial	idus_located_at	Iran	7137
financial	idus_located_at	Afghanistan	7138
financial	idus_located_at	Iraq	7139
financial	idus_located_at	Tajikistan	7140
financial	idus_located_at	Azerbaijan	7141
telecommunications	idus_located_at	Turkey	7142
telecommunications	idus_located_at	Iran	7143
telecommunications	idus_located_at	Afghanistan	7144
telecommunications	idus_located_at	Iraq	7145
telecommunications	idus_located_at	Tajikistan	7146
telecommunications	idus_located_at	Azerbaijan	7147
defense	idus_located_at	Turkey	7148
defense	idus_located_at	Iran	7149
defense	idus_located_at	Afghanistan	7150
defense	idus_located_at	Iraq	7151
defense	idus_located_at	Tajikistan	7152
defense	idus_located_at	Azerbaijan	7153
FIN7	use_way	spearphishing	7154
MuddyWater	use_tool	Android malware	7155
MuddyWater	use_tool	Multi-Stage Backdoors	7156
MuddyWater	use_tool	False Flags	7157
MuddyWater	use_tool	Android Malware	7158
group’s	use_tool	email	7159
group’s	launch	campaigns	7160
MuddyWater’s	use_tool	post-exploitation tools	7161
attacker	use_way	connected	7162
attacker	use_tool	delivered payloads	7163
Scattered Canary	relate_to	African	7164
Scattered Canary	use_way	connected	7165
Agari Cyber Intelligence	find	group	7166
Agari Cyber Intelligence	find	Scattered Canary	7167
group	target_industry	business	7168
Scattered Canary	target_industry	business	7169
Scattered Canary	hacker_active_time	November 29	7170
Scattered Canary	hacker_active_time	2018	7171
they	relate_to	Nigeria	7172
Scattered Canary’s	hacker_active_time	October 2008	7173
group	hacker_active_time	October 2008	7174
Scattered Canary’s	hacker_active_time	March 2016	7175
group	hacker_active_time	March 2016	7176
Alpha’s	have_purpose	provide personal shipping	7177
Scattered Canary	hacker_active_time	late 2015	7178
Scattered Canary	use_way	credential phishing	7179
Scattered Canary’s	hacker_active_time	July 2015	7180
Scattered Canary’s	hacker_active_time	February 2016	7181
Scattered Canary’s	use_way	phishing	7182
Scattered Canary’s	use_way	phishing	7183
Scattered Canary’s	relate_to	Asian	7184
Scattered Canary’s	relate_to	targets—Malaysia	7185
Scattered Canary’s	relate_to	Japan	7186
group	hacker_active_time	November 2015	7187
group	relate_to	North American	7188
group	relate_to	United States	7189
Scattered Canary	hacker_active_time	February 2016	7190
Scattered Canary	exploit	phishing	7191
Scattered Canary’s	hacker_active_time	March 2017	7192
Scattered Canary’s	hacker_active_time	November 2018	7193
Scattered Canary’s	launch	phishing campaigns	7194
Scattered Canary’s	relate_to	the United States	7195
Scattered Canary’s	relate_to	Canada	7196
Scattered Canary	hacker_active_time	July 2018	7197
Scattered Canary	use_way	phishing	7198
Scattered Canary	have_purpose	collect	7199
Scattered Canary	use_way	phishing	7200
Scattered Canary	have_purpose	compromise enterprise credentials	7201
Scattered Canary	relate_to	US	7202
Scattered Canary	target_organization	state government agencies	7203
state government agencies	org_located_at	US	7204
Scattered Canary’s	hacker_active_time	2008	7205
actors	use_tool	scripts	7206
actors	use_tool	templates	7207
Scattered Canary	use_way	phishing	7208
Sednit	use_tool	LoJax	7209
Scattered Canary	use_way	email scams	7210
Sednit	use_tool	sophisticated tools	7211
Sednit	hacker_active_time	Three years ago	7212
Sednit	relate_to	Middle East	7213
Sednit	relate_to	Central Asia	7214
Sednit	use_way	credential phishing	7215
we	find	Zebrocy	7216
Zebrocy	use_tool	backdoor	7217
SLUB	use_way	watering hole	7218
SLUB	exploit	CVE-2018-8174	7219
It	use_tool	GitHub	7220
It	use_tool	Slack	7221
we	sec_active_time	July 9	7222
SLUB	hacker_active_time	July 9	7223
we	find	SLUB	7224
SLUB	use_way	watering hole	7225
we	find	SLUB	7226
SLUB	use_tool	backdoor	7227
SLUB	exploit	CVE-2018-8174	7228
SLUB	exploit	CVE-2019-0752	7229
SLUB	use_way	used two Slack	7230
SWEED	use_way	spear-phishing	7231
SWEED	hacker_active_time	April 2018	7232
SWEED	hacker_active_time	May 2018	7233
SWEED	exploit	CVE-2017-11882	7234
them	relate_to	Middle East	7235
them	relate_to	United Arab Emirates	7236
them	relate_to	Saudi Arabia	7237
them	relate_to	India	7238
them	relate_to	Japan	7239
them	relate_to	Argentina	7240
them	relate_to	the Philippines	7241
them	relate_to	South Korea	7242
TA505	use_tool	FlowerPippi	7243
TA505	use_tool	backdoor	7244
TA505	relate_to	Japan	7245
TA505	relate_to	India	7246
TA505	relate_to	Argentina	7247
TA505	relate_to	Middle Eastern	7248
TA505	hacker_active_time	June 11	7249
TA505	relate_to	UAE	7250
TA505	relate_to	Saudi Arabia	7251
TA505	relate_to	Morroco	7252
It	use_way	FlawedAmmyy downloader	7253
It	use_tool	FlawedAmmyy payload	7254
TA505	use_tool	Wizard (.wiz) files	7255
TA505	use_tool	FlawedAmmyy RAT	7256
TA505’s	hacker_active_time	June 14	7257
TA505’s	relate_to	UAE	7258
TA505’s	use_tool	Amadey botnet	7259
It	use_tool	EmailStealer	7260
we	find	AndroMut	7261
Proofpoint	find	AndroMut	7262
TA505	hacker_active_time	June 20	7263
TA505	relate_to	Japan	7264
TA505	relate_to	Philippines	7265
TA505	relate_to	Argentina	7266
TA505	use_tool	FlowerPippi	7267
ZLAB	find	TA505	7268
TA505	relate_to	Germany	7269
TA505	target_organization	high profile companies	7270
TA505	hacker_active_time	2014	7271
TA505	use_way	deploy the RMS”	7272
TA505	relate_to	Russian	7273
TA505	hacker_active_time	2014	7274
TA505	target_industry	Banking	7275
TA505	target_industry	Retail	7276
Kaspersky	sec_active_time	2018	7277
Kaspersky	find	Turla	7278
Turla	use_tool	PowerShell loader	7279
Turla	hacker_active_time	2008	7280
Turla	target_industry	military	7281
Turla	use_tool	PowerShell	7282
Turla	relate_to	Western Europe	7283
Turla	relate_to	Middle East	7284
Turla	hacker_active_time	March 2019	7285
Turla	have_purpose	bypass	7286
SWEED	hacker_active_time	2017	7287
Turla	use_tool	Outlook Backdoor	7288
Turla	use_tool	LightNeuron	7289
Turla	use_tool	frameworks	7290
Neptun	file_have_feature	listen for commands	7291
attackers	have_file	Neptun	7292
Waterbug	use_tool	Meterpreter	7293
Waterbug	hacker_active_time	early 2018	7294
Waterbug	use_tool	Meterpreter	7295
Waterbug’s	use_tool	Crambus infrastructure	7296
Waterbug’s	relate_to	Middle East	7297
Waterbug	relate_to	Middle East	7298
group	relate_to	Middle East	7299
Waterbug	target_organization	compromise governments	7300
Waterbug	target_organization	international organizations	7301
Waterbug	target_industry	IT	7302
Waterbug	target_industry	education sectors	7303
group	target_organization	compromise governments	7304
group	target_organization	international organizations	7305
group	target_industry	IT	7306
group	target_industry	education sectors	7307
Waterbug	target_organization	infrastructure	7308
Symantec	find	Waterbug	7309
Waterbug	use_tool	Mimikatz	7310
Waterbug	hacker_active_time	January 11	7311
Waterbug	hacker_active_time	2018	7312
Crambus	relate_to	Middle Eastern	7313
Crambus	hacker_active_time	November 2017	7314
Waterbug’s	hacker_active_time	2018	7315
Symantec	find	Waterbug	7316
Symantec	find	Waterbug	7317
Waterbug	target_organization	Crambus infrastructure	7318
Waterbug	target_organization	Crambus infrastructure	7319
Waterbug	use_tool	PowerShell	7320
Waterbug	use_tool	USB stealer	7321
DeepSight Managed Adversary	find	Waterbug	7322
Threat Intelligence	find	Waterbug	7323
team	find	Waterbug	7324
group	find	Waterbug	7325
DeepSight MATI team	find	Waterbug	7326
DeepSight MATI team	find	group	7327
Waterbug	launch	campaigns	7328
group	launch	campaigns	7329
Waterbug	use_way	detecting	7330
Waterbug	use_way	thwarting activities	7331
group	use_way	detecting	7332
group	use_way	thwarting activities	7333
Winnti	hacker_active_time	2015	7334
Winnti⁶	hacker_active_time	2015	7335
Winnti	target_organization	Vietnamese gaming company	7336
Winnti⁶	target_organization	Vietnamese gaming company	7337
Chronicle	find	Winnti	7338
Winnti developers	use_tool	Azazel	7339
Winnti developers	have_purpose	decode	7340
Winnti developers	have_purpose	embedded	7341
Zebrocy	use_way	spearphishing	7342
Zebrocy	exploit	0day exploits	7343
Zebrocy	hacker_active_time	2019	7344
Zebrocy	target_organization	government	7345
Zebrocy	target_industry	military	7346
Silence	launch	DDoS attacks	7347
Silence	use_tool	Perl IRC bot	7348
Silence	use_tool	public IRC	7349
FBI	find	group	7350
FBI	find	APT6	7351
group	target_organization	US government	7352
group	hacker_active_time	2011	7353
APT6	target_organization	US government	7354
APT6	hacker_active_time	2011	7355
FireEye iSIGHT	find	APT37	7356
FireEye iSIGHT	find	Scarcruft	7357
FireEye iSIGHT	find	Group123	7358
Trend Micro	find	MuddyWater	7359
Trend Micro	find	actor	7360
MuddyWater	hacker_active_time	May 2017	7361
actor	hacker_active_time	May 2017	7362
FireEye	find	actors	7363
FireEye	find	TEMP.Reaper	7364
actors	use_way	zero-day	7365
actors	relate_to	North Korean	7366
TEMP.Reaper	use_way	zero-day	7367
TEMP.Reaper	relate_to	North Korean	7368
FireEye	find	TEMP.Hermit	7369
TEMP.Hermit	relate_to	North Korean	7370
FireEye	sec_active_time	Nov14	7371
APT34	hacker_active_time	Nov14	7372
FireEye	sec_active_time	2017	7373
APT34	hacker_active_time	2017	7374
FireEye	find	APT34	7375
APT34	exploit	vulnerability	7376
